contact,program,counties,description,address,latitude,longitude
havallone@acrhealth.org,ACR Health - Q Center,"North Country (Clinton, Essex, Franklin, Hamilton, Jefferson, Lewis, St. Lawrence)","ACR Health is a not-for-profit, community-based organization providing an array of support services to individuals affected by a wide range of chronic diseases, including HIV/AIDS, with the goal of positive health outcomes. ACR Health’s network of Q Centers and support groups are safe places for LGBTQ youth, their families and allies to gather. Q Center programming seeks to promote equality, celebrate diversity, and create a safer, more accepting and inclusive community for all.","627 W. Genesee Street, Syracuse, NY 13204",43.053176,-76.161155
PerryJ@AlbanyDamienCenter.org,Albany Damien Center,"Capital Region (Albany, Columbia, Greene, Rensselaer, Saratoga, Schenectady, Warren, Washington)","The Albany Damien Center’s mission is to enhance the lives of people affected by HIV/AIDS in an affirming environment and to reduce new infections in the communities we serve.  Our vision is a community where people with HIV/AIDS achieve their desired potential and are respected as coworkers, neighbors and friends, while striving for an HIV free generation.","728 Madison Ave, Ste 100, Albany, NY 12208",42.658027,-73.778282
nseenauth@aliforneycenter.org,Ali Forney Center,"New York City (Bronx, Kings, New York, Queens, Richmond)",Our mission is to protect LGBTQ youths from the harms of homelessness and empower them with the tools needed to live independently. ,"321 W 125th St New York, NY 10027",40.810843,-73.95224
ipotts@alliancefph.org,Alliance for Positive Health,"Capital Region (Albany, Columbia, Greene, Rensselaer, Saratoga, Schenectady, Warren, Washington)",To decrease the impact of HIV/AIDS and other serious medical conditions on the community.,"927 Broadway, Albany, NY 12207",42.661679,-73.744002
jviloria@apicha.org,Apicha Community Health Center,"New York City (Bronx, Kings, New York, Queens, Richmond)","Apicha CHC strives to deliver accessible, culturally competent, and comprehensive medical and social services to all communities, with particular regard to marginalised folks. Apicha CHC also works with community-based and government organisations to advocate for health equity. ","400 Broadway, New York NY 10013",40.718636,-74.002259
maxwell@alp.org,Audre Lorde Project,"New York City (Bronx, Kings, New York, Queens, Richmond)","The Audre Lorde Project is a Lesbian, Gay, Bisexual, Two Spirit, Trans and Gender Non Conforming People of Color center for community organizing, focusing on the New York City area. Through mobilization, education, and capacity-building, we work for community wellness and progressive social and economic justice. Committed to struggling across differences, we seek to responsibly reflect, represent, and serve our various communities.","85 South Oxford Street, Brooklyn, NY 11217",40.687016,-73.973317
pnoon.sage@gmail.com,Bassett Healthcare Network - The Gender Wellness Center,"Mohawk Valley (Fulton, Herkimer, Montgomery, Oneida, Otsego, Schoharie)","Our mission is to bring trans-affirming health care from the margins to the mainstream by offering transgender health care from within a primary care practice. We provide Trans-affirming hormone therapy, Mental health services, Surgical services, Primary care for transgender patients, including adolescents and adults.","Gender Wellness Center at Susquehanna Family Practice, 1 Foxcare Drive, Oneonta, NY 13820",42.452971,-75.063157
fbrigham@callen-lorde.org,Callen-Lorde Community Health Center,"New York City (Bronx, Kings, New York, Queens, Richmond)","Callen-Lorde Community Health Center provides sensitive, quality health care and related services targeted to New York’s lesbian, gay, bisexual, and transgender communities — in all their diversity — regardless of ability to pay. To further this mission, Callen-Lorde promotes health education and wellness, and advocates for LGBTQ health issues.",356 West 18th Street New York NY 10011,40.743026,-74.003128
dkao@cpc-nyc.org,Chinese American Planning Council - Project Reach,"New York City (Bronx, Kings, New York, Queens, Richmond)","Project Reach is a youth and adult-run, multiracial, multi-gender, grassroots and city-wide, anti- discrimination/social justice training and drop-in center with a clear mission and commitment to challenging the destruction of, between and among New York City’s most marginalized youth communities. ","39 Eldridge Street, 4th Floor, New York, NY 10002",40.715712,-73.993472
edolgin@candlerockland.org,Community Awareness Network for a Drug-Free Life and Environment (CANDLE),"Mid Hudson (Dutchess, Orange, Putnam, Rockland, Sullivan, Westchester, Ulster)","CANDLE's  mission is to prevent substance abuse and violence among youth; our goal is to improve the health and climate of our schools and communities. CANDLE Youth Pride engages youth, young adults, and community members in efforts to enhance the safety, support, & affirmation of LGBTQ+ youth. Programs include: support groups; GSA supports; youth leadership opportunities; our annual Common Threads Retreat; cultural competency training and education programs; and community education. ","120 No Main St. Suite 301 New City, NY 10956",41.151192,-73.988695
